k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,2.63388190e-09
1,0,0.06074799,-12.161831,8.91146629e-06
2,0,0.12149598,-12.125518,5.61988450e-05
3,0,0.18224397,-12.065039,1.83539694e-04
4,0,0.24299205,-11.980516,4.44761433e-04
5,0,0.30373983,-11.871987,9.03319476e-04
6,0,0.36448784,-11.739760,1.62975073e-03
7,0,0.42523585,-11.583992,2.69774620e-03
8,0,0.48598386,-11.404888,4.18079329e-03
9,0,0.54673188,-11.202855,6.14855897e-03
10,0,0.60747989,-10.978205,8.66293938e-03
11,0,0.66822790,-10.731338,1.17743719e-02
12,0,0.72897591,-10.462806,1.55205877e-02
13,0,0.78972392,-10.173086,1.99215653e-02
14,0,0.85047193,-9.862951,2.49796863e-02
15,0,0.91121971,-9.532994,3.06764765e-02
16,0,0.97196773,-9.184204,3.69786276e-02
17,0,1.03271574,-8.817441,4.38307869e-02
18,0,1.09346375,-8.433770,5.11623408e-02
19,0,1.15421176,-8.034362,2.08918386e-03
20,0,1.15421176,-8.034362,2.08956947e-03
21,0,1.18458576,-8.033320,4.62305452e-03
22,0,1.21495976,-8.030216,8.23728983e-03
23,0,1.24533376,-8.025095,1.30504501e-02
24,0,1.27570776,-8.018102,1.87030340e-02
25,0,1.30608176,-8.009363,2.52086251e-02
26,0,1.33645576,-7.999066,3.24605426e-02
27,0,1.36682976,-7.987477,3.99926754e-02
28,0,1.39720381,-7.974810,4.76719575e-02
29,0,1.42757781,-7.961386,5.59639644e-02
30,0,1.45795159,-7.947528,6.18213451e-02
31,0,1.48832560,-7.933662,6.97828619e-02
32,0,1.51869960,-7.920150,7.71600435e-02
33,0,1.54907361,-7.907380,8.43872868e-02
34,0,1.57944761,-7.895736,8.98194736e-02
35,0,1.60982162,-7.885624,8.53151862e-02
36,0,1.64019563,-7.877365,5.35565871e-02
37,0,1.67056963,-7.871244,2.83899736e-02
38,0,1.70094364,-7.867476,1.86638989e-02
39,0,1.73131764,-7.866182,1.69058483e-02
40,0,1.73131764,-7.866182,1.69090451e-02
41,0,1.75279515,-7.924879,7.51055613e-02
42,0,1.77427297,-7.980461,7.23480466e-02
43,0,1.79575048,-8.032927,6.96741392e-02
44,0,1.81722830,-8.082250,6.70909481e-02
45,0,1.83870581,-8.128431,6.46033313e-02
46,0,1.86018364,-8.171462,6.22164142e-02
47,0,1.88166114,-8.211334,5.99352571e-02
48,0,1.90313897,-8.248035,5.77645991e-02
49,0,1.92461647,-8.281571,5.57088057e-02
50,0,1.94609430,-8.311938,5.37720135e-02
51,0,1.96757180,-8.339113,5.19583537e-02
52,0,1.98904963,-8.363101,5.02712901e-02
53,0,2.01052713,-8.383910,4.87148943e-02
54,0,2.03200496,-8.401513,4.72906041e-02
55,0,2.05348246,-8.415920,4.60019778e-02
56,0,2.07496029,-8.427121,4.48516384e-02
57,0,2.09643779,-8.435128,4.38410898e-02
58,0,2.11791562,-8.439933,4.29723158e-02
59,0,2.13939312,-8.441535,4.22468361e-02
60,0,2.13939312,-8.441535,4.22468395e-02
61,0,2.20382612,-8.639944,4.64711742e-02
62,0,2.26825912,-8.879154,4.72958798e-02
63,0,2.33269211,-9.149303,4.50549272e-02
64,0,2.39712495,-9.438544,4.06459602e-02
65,0,2.46155794,-9.736095,3.50434160e-02
66,0,2.52599094,-10.033039,2.90410124e-02
67,0,2.59042394,-10.322529,2.32037225e-02
68,0,2.65485693,-10.599298,1.78834574e-02
69,0,2.71928993,-10.859598,1.32742058e-02
70,0,2.78372276,-11.100614,9.45539616e-03
71,0,2.84815576,-11.320138,6.42579157e-03
72,0,2.91258876,-11.516590,4.13082550e-03
73,0,2.97702175,-11.688792,2.48088893e-03
74,0,3.04145475,-11.835792,1.36590842e-03
75,0,3.10588775,-11.956914,6.69280889e-04
76,0,3.17032058,-12.051610,2.77337594e-04
77,0,3.23475363,-12.119498,8.72874555e-05
78,0,3.29918661,-12.160320,1.51176708e-05
79,0,3.36361957,-12.174008,2.63390740e-09
80,0,3.36361957,-12.174008,2.63391980e-09
81,0,3.41622887,-12.164855,1.04287930e-05
82,0,3.46883817,-12.137635,4.10810857e-05
83,0,3.52144747,-12.092341,9.18544995e-05
84,0,3.57405686,-12.029118,1.62589575e-04
85,0,3.62666598,-11.948130,2.53100811e-04
86,0,3.67927530,-11.849741,3.63176684e-04
87,0,3.73188462,-11.734281,4.92666197e-04
88,0,3.78449394,-11.602234,6.41556964e-04
89,0,3.83710326,-11.454415,8.09874985e-04
90,0,3.88971258,-11.291718,9.98046990e-04
91,0,3.94232191,-11.115499,1.20683430e-03
92,0,3.99493123,-10.927719,1.43746036e-03
93,0,4.04754055,-10.731246,1.69158446e-03
94,0,4.10014987,-10.530251,1.97081214e-03
95,0,4.15275899,-10.331492,2.27459902e-03
96,0,4.20536831,-10.145155,2.59568150e-03
97,0,4.25797763,-9.986820,2.90846802e-03
98,0,4.31058696,-9.877355,3.15443155e-03
99,0,4.36319628,-9.837738,3.25054880e-03
0,1,0.00000000,-0.221237,2.84007262e-10
1,1,0.06074799,-0.304028,2.16024017e-01
2,1,0.12149598,-0.533108,1.91453946e-01
3,1,0.18224397,-0.861308,1.67890476e-01
4,1,0.24299205,-1.249585,1.48418648e-01
5,1,0.30373983,-1.673052,1.32868860e-01
6,1,0.36448784,-2.117453,1.20320760e-01
7,1,0.42523585,-2.574406,1.09911621e-01
8,1,0.48598386,-3.038851,1.00994623e-01
9,1,0.54673188,-3.507869,9.30974859e-02
10,1,0.60747989,-3.979083,8.58885678e-02
11,1,0.66822790,-4.451056,7.91434604e-02
12,1,0.72897591,-4.921378,7.26777709e-02
13,1,0.78972392,-5.388366,6.63980592e-02
14,1,0.85047193,-5.851013,6.02435198e-02
15,1,0.91121971,-6.307241,5.42008029e-02
16,1,0.97196773,-6.755448,4.82848732e-02
17,1,1.03271574,-7.193728,4.25279779e-02
18,1,1.09346375,-7.620536,3.69803708e-02
19,1,1.15421176,-8.034362,8.84987265e-02
20,1,1.15421176,-8.034362,8.84983400e-02
21,1,1.18458576,-8.033320,8.74386430e-02
22,1,1.21495976,-8.030216,8.52099996e-02
23,1,1.24533376,-8.025095,8.16923376e-02
24,1,1.27570776,-8.018102,7.72391026e-02
25,1,1.30608176,-8.009363,7.18372374e-02
26,1,1.33645576,-7.999066,6.55929867e-02
27,1,1.36682976,-7.987477,5.89728847e-02
28,1,1.39720381,-7.974810,5.21110401e-02
29,1,1.42757781,-7.961386,4.45430706e-02
30,1,1.45795159,-7.947528,3.93192299e-02
31,1,1.48832560,-7.933662,3.19020039e-02
32,1,1.51869960,-7.920150,2.49812833e-02
33,1,1.54907361,-7.907380,1.81277989e-02
34,1,1.57944761,-7.895736,1.29893855e-02
35,1,1.60982162,-7.885624,1.77072593e-02
36,1,1.64019563,-7.877365,4.96031176e-02
37,1,1.67056963,-7.871244,7.48330465e-02
38,1,1.70094364,-7.867476,8.45504483e-02
39,1,1.73131764,-7.866182,8.62314706e-02
40,1,1.73131764,-7.866182,8.62282723e-02
41,1,1.75279515,-7.808596,2.77223252e-02
42,1,1.77427297,-7.756296,3.03604873e-02
43,1,1.79575048,-7.709236,3.30698929e-02
44,1,1.81722830,-7.667276,3.58077650e-02
45,1,1.83870581,-7.630209,3.85309780e-02
46,1,1.86018364,-7.597762,4.11978769e-02
47,1,1.88166114,-7.569606,4.37705270e-02
48,1,1.90313897,-7.545351,4.62160620e-02
49,1,1.92461647,-7.524711,4.85058846e-02
50,1,1.94609430,-7.507363,5.06171099e-02
51,1,1.96757180,-7.492793,5.25347053e-02
52,1,1.98904963,-7.480754,5.42452977e-02
53,1,2.01052713,-7.470955,5.57401248e-02
54,1,2.03200496,-7.463114,5.70139356e-02
55,1,2.05348246,-7.457014,5.80634209e-02
56,1,2.07496029,-7.452412,5.88897447e-02
57,1,2.09643779,-7.449271,5.94871359e-02
58,1,2.11791562,-7.447428,5.98586709e-02
59,1,2.13939312,-7.446815,6.00053742e-02
60,1,2.13939312,-7.446815,6.00053777e-02
61,1,2.20382612,-7.247460,5.15291372e-02
62,1,2.26825912,-7.019417,4.27342195e-02
63,1,2.33269211,-6.762998,3.39799972e-02
64,1,2.39712495,-6.478367,2.56290255e-02
65,1,2.46155794,-6.166004,1.80283884e-02
66,1,2.52599094,-5.826264,1.15078462e-02
67,1,2.59042394,-5.459647,6.36339522e-03
68,1,2.65485693,-5.066690,2.85123092e-03
69,1,2.71928993,-4.648299,1.18504800e-03
70,1,2.78372276,-4.205520,1.53635090e-03
71,1,2.84815576,-3.739690,4.04240596e-03
72,1,2.91258876,-3.252868,8.82236537e-03
73,1,2.97702175,-2.748308,1.60117878e-02
74,1,3.04145475,-2.230417,2.58188003e-02
75,1,3.10588775,-1.707984,3.86191621e-02
76,1,3.17032058,-1.196202,5.50470919e-02
77,1,3.23475363,-0.726540,7.58021087e-02
78,1,3.29918661,-0.364477,9.93414160e-02
79,1,3.36361957,-0.221237,2.39018700e-10
80,1,3.36361957,-0.221237,2.24699091e-10
81,1,3.41622887,-0.329993,2.22342667e-04
82,1,3.46883817,-0.619918,6.76300129e-04
83,1,3.52144747,-1.018698,1.09981895e-03
84,1,3.57405686,-1.474774,1.41728805e-03
85,1,3.62666598,-1.958536,1.63635543e-03
86,1,3.67927530,-2.454449,1.77610799e-03
87,1,3.73188462,-2.952316,1.85335316e-03
88,1,3.78449394,-3.445848,1.87905691e-03
89,1,3.83710326,-3.930558,1.86013081e-03
90,1,3.88971258,-4.402823,1.80067980e-03
91,1,3.94232191,-4.859400,1.70271256e-03
92,1,3.99493123,-5.296989,1.56664945e-03
93,1,4.04754055,-5.711758,1.39160219e-03
94,1,4.10014987,-6.098368,1.17632088e-03
95,1,4.15275899,-6.449798,9.20714438e-04
96,1,4.20536831,-6.755259,6.31974327e-04
97,1,4.25797763,-6.998913,3.36322299e-04
98,1,4.31058696,-7.159679,9.57542942e-05
99,1,4.36319628,-7.216452,2.23931258e-09
0,2,0.00000000,-0.221237,4.33424730e-01
1,2,0.06074799,-0.273253,1.20506822e-01
2,2,0.12149598,-0.417348,1.23886032e-01
3,2,0.18224397,-0.620436,1.27579127e-01
4,2,0.24299205,-0.854281,1.32221830e-01
5,2,0.30373983,-1.099562,1.37882624e-01
6,2,0.36448784,-1.345517,1.44337177e-01
7,2,0.42523585,-1.584481,1.51340266e-01
8,2,0.48598386,-1.811733,1.58637740e-01
9,2,0.54673188,-2.024671,1.65974828e-01
10,2,0.60747989,-2.220993,1.73135395e-01
11,2,0.66822790,-2.399222,1.79914993e-01
12,2,0.72897591,-2.558338,1.86122726e-01
13,2,0.78972392,-2.697456,1.91592770e-01
14,2,0.85047193,-2.816014,1.96174291e-01
15,2,0.91121971,-2.913496,1.99750145e-01
16,2,0.97196773,-2.989660,2.02203550e-01
17,2,1.03271574,-3.044267,2.03463084e-01
18,2,1.09346375,-3.077078,2.03489493e-01
19,2,1.15421176,-3.088023,2.02268261e-01
20,2,1.15421176,-3.088023,2.02268262e-01
21,2,1.18458576,-3.097704,2.01266521e-01
22,2,1.21495976,-3.126067,1.95777171e-01
23,2,1.24533376,-3.171205,1.86474620e-01
24,2,1.27570776,-3.230427,1.74327286e-01
25,2,1.30608176,-3.300545,1.60335130e-01
26,2,1.33645576,-3.378349,1.45367824e-01
27,2,1.36682976,-3.460868,1.30067089e-01
28,2,1.39720381,-3.545310,1.14976662e-01
29,2,1.42757781,-3.629326,1.00413732e-01
30,2,1.45795159,-3.710912,8.65984270e-02
31,2,1.48832560,-3.788257,7.37291766e-02
32,2,1.51869960,-3.859926,6.19258917e-02
33,2,1.54907361,-3.924565,5.13472274e-02
34,2,1.57944761,-3.981093,4.20981399e-02
35,2,1.60982162,-4.028638,3.43045414e-02
36,2,1.64019563,-4.066409,2.80731064e-02
37,2,1.67056963,-4.093817,2.35029964e-02
38,2,1.70094364,-4.110419,2.06732473e-02
39,2,1.73131764,-4.115971,1.96251778e-02
40,2,1.73131764,-4.115971,1.96251431e-02
41,2,1.75279515,-4.160922,3.70334009e-02
42,2,1.77427297,-4.203776,3.71749050e-02
43,2,1.79575048,-4.244477,3.73178598e-02
44,2,1.81722830,-4.282950,3.74560843e-02
45,2,1.83870581,-4.319157,3.75905715e-02
46,2,1.86018364,-4.353049,3.77201680e-02
47,2,1.88166114,-4.384584,3.78438557e-02
48,2,1.90313897,-4.413723,3.79605609e-02
49,2,1.92461647,-4.440438,3.80698944e-02
50,2,1.94609430,-4.464692,3.81707847e-02
51,2,1.96757180,-4.486462,3.82630811e-02
52,2,1.98904963,-4.505724,3.83461010e-02
53,2,2.01052713,-4.522484,3.84191265e-02
54,2,2.03200496,-4.536669,3.84824909e-02
55,2,2.05348246,-4.548295,3.85356361e-02
56,2,2.07496029,-4.557325,3.85777044e-02
57,2,2.09643779,-4.563799,3.86100189e-02
58,2,2.11791562,-4.567686,3.86318335e-02
59,2,2.13939312,-4.568962,3.86450963e-02
60,2,2.13939312,-4.568962,3.86450959e-02
61,2,2.20382612,-4.667231,2.05129703e-02
62,2,2.26825912,-4.683691,8.42019290e-03
63,2,2.33269211,-4.625347,1.93293764e-03
64,2,2.39712495,-4.502100,4.62882259e-05
65,2,2.46155794,-4.323677,1.71282863e-03
66,2,2.52599094,-4.098907,6.11015201e-03
67,2,2.59042394,-3.834999,1.27009781e-02
68,2,2.65485693,-3.537912,2.11982133e-02
69,2,2.71928993,-3.213237,3.15082175e-02
70,2,2.78372276,-2.866140,4.37033855e-02
71,2,2.84815576,-2.501942,5.79949771e-02
72,2,2.91258876,-2.126895,7.47190274e-02
73,2,2.97702175,-1.748566,9.43056897e-02
74,2,3.04145475,-1.376798,1.17176524e-01
75,2,3.10588775,-1.024255,1.43477108e-01
76,2,3.17032058,-0.708614,1.72428786e-01
77,2,3.23475363,-0.451775,2.01016054e-01
78,2,3.29918661,-0.280740,2.22756217e-01
79,2,3.36361957,-0.221237,3.60951117e-02
80,2,3.36361957,-0.221237,4.10131505e-01
81,2,3.41622887,-0.236100,6.16751806e-01
82,2,3.46883817,-0.282174,5.71765956e-01
83,2,3.52144747,-0.352540,3.81590546e-02
84,2,3.57405686,-0.440122,1.86277660e-01
85,2,3.62666598,-0.538050,6.34106235e-02
86,2,3.67927530,-0.640874,8.10913897e-02
87,2,3.73188462,-0.744147,6.64667148e-02
88,2,3.78449394,-0.844362,1.84992172e-01
89,2,3.83710326,-0.939896,1.97065528e-01
90,2,3.88971258,-1.028758,5.26053247e-02
91,2,3.94232191,-1.109818,3.05611566e-02
92,2,3.99493123,-1.182323,7.16571321e-03
93,2,4.04754055,-1.245711,3.48858611e-02
94,2,4.10014987,-1.299418,3.16978374e-02
95,2,4.15275899,-1.343739,2.08416546e-03
96,2,4.20536831,-1.378237,9.53134640e-03
97,2,4.25797763,-1.402944,3.99746811e-04
98,2,4.31058696,-1.417777,1.25617597e-04
99,2,4.36319628,-1.422833,7.55138640e-05
0,3,0.00000000,-0.221237,2.61407773e-01
1,3,0.06074799,-0.273253,3.33322118e-01
2,3,0.12149598,-0.417348,3.02386394e-01
3,3,0.18224397,-0.620436,2.65687044e-01
4,3,0.24299205,-0.854280,2.30277326e-01
5,3,0.30373983,-1.099562,1.98227780e-01
