k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,4.25592109e-05
1,0,0.06074799,-12.161831,6.23953404e-04
2,0,0.12149598,-12.125518,2.35077011e-03
3,0,0.18224397,-12.065039,5.16845885e-03
4,0,0.24299205,-11.980516,8.98808140e-03
5,0,0.30373983,-11.871987,1.36872095e-02
6,0,0.36448784,-11.739760,1.91217259e-02
7,0,0.42523585,-11.583992,2.51193501e-02
8,0,0.48598386,-11.404888,3.14910925e-02
9,0,0.54673188,-11.202855,3.80405093e-02
10,0,0.60747989,-10.978205,4.45629908e-02
11,0,0.66822790,-10.731338,5.08548422e-02
12,0,0.72897591,-10.462806,5.67265163e-02
13,0,0.78972392,-10.173086,6.19982919e-02
14,0,0.85047193,-9.862951,6.65093527e-02
15,0,0.91121971,-9.532994,7.01221214e-02
16,0,0.97196773,-9.184204,7.27398409e-02
17,0,1.03271574,-8.817441,7.42904421e-02
18,0,1.09346375,-8.433770,7.47357745e-02
19,0,1.15421176,-8.034362,1.48143786e-01
20,0,1.15421176,-8.034362,1.48143875e-01
21,0,1.18458576,-8.033320,1.47369204e-01
22,0,1.21495976,-8.030216,1.45061146e-01
23,0,1.24533376,-8.025095,1.41144265e-01
24,0,1.27570776,-8.018102,1.35871850e-01
25,0,1.30608176,-8.009363,1.29278708e-01
26,0,1.33645576,-7.999066,1.21458563e-01
27,0,1.36682976,-7.987477,1.12872283e-01
28,0,1.39720381,-7.974810,1.03666686e-01
29,0,1.42757781,-7.961386,9.32203956e-02
30,0,1.45795159,-7.947528,8.52146109e-02
31,0,1.48832560,-7.933662,7.39039491e-02
32,0,1.51869960,-7.920150,6.20845803e-02
33,0,1.54907361,-7.907380,4.83413525e-02
34,0,1.57944761,-7.895736,3.09561390e-02
35,0,1.60982162,-7.885624,9.09180251e-03
36,0,1.64019563,-7.877365,1.08127989e-03
37,0,1.67056963,-7.871244,1.16092618e-02
38,0,1.70094364,-7.867476,1.95267050e-02
39,0,1.73131764,-7.866182,2.09359981e-02
40,0,1.73131764,-7.866182,2.09121070e-02
41,0,1.75279515,-7.924879,8.95709880e-03
42,0,1.77427297,-7.980461,8.05307602e-03
43,0,1.79575048,-8.032927,7.18740532e-03
44,0,1.81722830,-8.082250,6.36206930e-03
45,0,1.83870581,-8.128431,5.57934354e-03
46,0,1.86018364,-8.171462,4.84124335e-03
47,0,1.88166114,-8.211334,4.14972241e-03
48,0,1.90313897,-8.248035,3.50665888e-03
49,0,1.92461647,-8.281571,2.91355442e-03
50,0,1.94609430,-8.311938,2.37200629e-03
51,0,1.96757180,-8.339113,1.88354819e-03
52,0,1.98904963,-8.363101,1.44938747e-03
53,0,2.01052713,-8.383910,1.07087574e-03
54,0,2.03200496,-8.401513,7.48573785e-04
55,0,2.05348246,-8.415920,4.83559535e-04
56,0,2.07496029,-8.427121,2.76487182e-04
57,0,2.09643779,-8.435128,1.27995445e-04
58,0,2.11791562,-8.439933,3.84233892e-05
59,0,2.13939312,-8.441535,8.01436875e-06
60,0,2.13939312,-8.441535,8.01437586e-06
61,0,2.20382612,-8.639944,1.13848108e-05
62,0,2.26825912,-8.879154,1.50106003e-05
63,0,2.33269211,-9.149303,1.86010861e-05
64,0,2.39712495,-9.438544,2.19702194e-05
65,0,2.46155794,-9.736095,2.50297867e-05
66,0,2.52599094,-10.033039,2.77638633e-05
67,0,2.59042394,-10.322529,3.01903934e-05
68,0,2.65485693,-10.599298,3.23347030e-05
69,0,2.71928993,-10.859598,3.42277936e-05
70,0,2.78372276,-11.100614,3.58893341e-05
