k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,3.46488448e-08
1,0,0.06074799,-12.161831,1.55397145e-03
2,0,0.12149598,-12.125518,6.18964767e-03
3,0,0.18224397,-12.065039,1.38306036e-02
4,0,0.24299205,-11.980516,2.43514763e-02
5,0,0.30373983,-11.871987,3.75810187e-02
6,0,0.36448784,-11.739760,5.33058233e-02
7,0,0.42523585,-11.583992,7.12759602e-02
8,0,0.48598386,-11.404888,9.12101653e-02
9,0,0.54673188,-11.202855,1.12802040e-01
10,0,0.60747989,-10.978205,1.35726874e-01
11,0,0.66822790,-10.731338,1.59648724e-01
12,0,0.72897591,-10.462806,1.84223702e-01
13,0,0.78972392,-10.173086,2.09107995e-01
14,0,0.85047193,-9.862951,2.33967535e-01
15,0,0.91121971,-9.532994,2.58472420e-01
16,0,0.97196773,-9.184204,2.82305364e-01
17,0,1.03271574,-8.817441,3.05157335e-01
18,0,1.09346375,-8.433770,3.26734364e-01
19,0,1.15421176,-8.034362,6.93496865e-01
20,0,1.15421176,-8.034362,6.93496850e-01
21,0,1.18458576,-8.033320,6.93612515e-01
22,0,1.21495976,-8.030216,6.93950102e-01
23,0,1.24533376,-8.025095,6.94309563e-01
24,0,1.27570776,-8.018102,6.94899584e-01
25,0,1.30608176,-8.009363,6.95541236e-01
26,0,1.33645576,-7.999066,6.96071549e-01
27,0,1.36682976,-7.987477,6.96864353e-01
28,0,1.39720381,-7.974810,6.97772339e-01
29,0,1.42757781,-7.961386,6.97088659e-01
30,0,1.45795159,-7.947528,7.01721045e-01
31,0,1.48832560,-7.933662,6.99279639e-01
32,0,1.51869960,-7.920150,6.93507979e-01
33,0,1.54907361,-7.907380,6.76300505e-01
34,0,1.57944761,-7.895736,6.25468118e-01
35,0,1.60982162,-7.885624,4.67274264e-01
36,0,1.64019563,-7.877365,1.64062486e-01
37,0,1.67056963,-7.871244,3.15169604e-02
38,0,1.70094364,-7.867476,1.93799094e-03
39,0,1.73131764,-7.866182,6.28118977e-06
40,0,1.73131764,-7.866182,6.28221361e-06
41,0,1.75279515,-7.924879,6.38683689e-01
42,0,1.77427297,-7.980461,6.43565240e-01
43,0,1.79575048,-8.032927,6.48216019e-01
44,0,1.81722830,-8.082250,6.52616481e-01
45,0,1.83870581,-8.128431,6.56765370e-01
46,0,1.86018364,-8.171462,6.60656271e-01
47,0,1.88166114,-8.211334,6.64282935e-01
48,0,1.90313897,-8.248035,6.67639913e-01
49,0,1.92461647,-8.281571,6.70721635e-01
50,0,1.94609430,-8.311938,6.73522543e-01
51,0,1.96757180,-8.339113,6.76040045e-01
52,0,1.98904963,-8.363101,6.78269365e-01
53,0,2.01052713,-8.383910,6.80210141e-01
54,0,2.03200496,-8.401513,6.81853423e-01
55,0,2.05348246,-8.415920,6.83199488e-01
56,0,2.07496029,-8.427121,6.84246279e-01
57,0,2.09643779,-8.435128,6.84992107e-01
58,0,2.11791562,-8.439933,6.85435871e-01
59,0,2.13939312,-8.441535,6.85576529e-01
60,0,2.13939312,-8.441535,6.85576533e-01
61,0,2.20382612,-8.639944,6.61077326e-01
62,0,2.26825912,-8.879154,6.26793919e-01
63,0,2.33269211,-9.149303,5.85365121e-01
64,0,2.39712495,-9.438544,5.39451183e-01
65,0,2.46155794,-9.736095,4.91027185e-01
66,0,2.52599094,-10.033039,4.41348264e-01
67,0,2.59042394,-10.322529,3.91217903e-01
68,0,2.65485693,-10.599298,3.41274721e-01
69,0,2.71928993,-10.859598,2.92148790e-01
70,0,2.78372276,-11.100614,2.44500876e-01
71,0,2.84815576,-11.320138,1.99043605e-01
72,0,2.91258876,-11.516590,1.56538564e-01
73,0,2.97702175,-11.688792,1.17755203e-01
74,0,3.04145475,-11.835792,8.34445022e-02
75,0,3.10588775,-11.956914,5.43033980e-02
76,0,3.17032058,-12.051610,3.09477931e-02
77,0,3.23475363,-12.119498,1.38843544e-02
78,0,3.29918661,-12.160320,3.49080674e-03
79,0,3.36361957,-12.174008,3.46480353e-08
80,0,3.36361957,-12.174008,3.46477937e-08
81,0,3.41622887,-12.164855,3.49469251e-03
82,0,3.46883817,-12.137635,1.39412500e-02
83,0,3.52144747,-12.092341,3.12300893e-02
84,0,3.57405686,-12.029118,5.51847522e-02
85,0,3.62666598,-11.948130,8.55720598e-02
86,0,3.67927530,-11.849741,1.22113626e-01
87,0,3.73188462,-11.734281,1.64509251e-01
88,0,3.78449394,-11.602234,2.12450463e-01
89,0,3.83710326,-11.454415,2.65681745e-01
90,0,3.88971258,-11.291718,3.23994706e-01
91,0,3.94232191,-11.115499,3.87298667e-01
92,0,3.99493123,-10.927719,4.55653337e-01
93,0,4.04754055,-10.731246,5.29285234e-01
94,0,4.10014987,-10.530251,6.08448430e-01
95,0,4.15275899,-10.331492,6.92976038e-01
96,0,4.20536831,-10.145155,7.80974374e-01
97,0,4.25797763,-9.986820,8.65866286e-01
98,0,4.31058696,-9.877355,9.32301921e-01
99,0,4.36319628,-9.837738,9.58356192e-01
0,1,0.00000000,-0.221237,9.42605162e-08
1,1,0.06074799,-0.304028,2.76414541e-02
2,1,0.12149598,-0.533108,9.11208535e-02
3,1,0.18224397,-0.861308,1.60789179e-01
4,1,0.24299205,-1.249585,2.22575107e-01
5,1,0.30373983,-1.673052,2.73679903e-01
6,1,0.36448784,-2.117453,3.14924804e-01
7,1,0.42523585,-2.574406,3.47729602e-01
8,1,0.48598386,-3.038851,3.73296483e-01
9,1,0.54673188,-3.507869,3.92483043e-01
10,1,0.60747989,-3.979083,4.05987094e-01
11,1,0.66822790,-4.451056,4.14327286e-01
12,1,0.72897591,-4.921378,4.18032797e-01
13,1,0.78972392,-5.388366,4.17510992e-01
14,1,0.85047193,-5.851013,4.13173756e-01
15,1,0.91121971,-6.307241,4.05401097e-01
16,1,0.97196773,-6.755448,3.94544071e-01
17,1,1.03271574,-7.193728,3.80945631e-01
18,1,1.09346375,-7.620536,3.64914788e-01
