k_index,band_index,k_distance,energy_eV,weight
0,0,0.00000000,-12.174008,4.04246666e-05
1,0,0.06074799,-12.161831,7.69032499e-04
2,0,0.12149598,-12.125518,2.93395489e-03
3,0,0.18224397,-12.065039,6.46994763e-03
4,0,0.24299205,-11.980516,1.12705770e-02
5,0,0.30373983,-11.871987,1.71893122e-02
6,0,0.36448784,-11.739760,2.40530010e-02
7,0,0.42523585,-11.583992,3.16546627e-02
8,0,0.48598386,-11.404888,3.97671039e-02
9,0,0.54673188,-11.202855,4.81515571e-02
10,0,0.60747989,-10.978205,5.65599812e-02
11,0,0.66822790,-10.731338,6.47441478e-02
12,0,0.72897591,-10.462806,7.24691071e-02
13,0,0.78972392,-10.173086,7.95111142e-02
14,0,0.85047193,-9.862951,8.56676123e-02
15,0,0.91121971,-9.532994,9.07618229e-02
16,0,0.97196773,-9.184204,9.46599584e-02
17,0,1.03271574,-8.817441,9.72563674e-02
18,0,1.09346375,-8.433770,9.84861818e-02
19,0,1.15421176,-8.034362,1.96633115e-01
20,0,1.15421176,-8.034362,1.96633259e-01
21,0,1.18458576,-8.033320,1.95065357e-01
22,0,1.21495976,-8.030216,1.90398668e-01
23,0,1.24533376,-8.025095,1.82522326e-01
24,0,1.27570776,-8.018102,1.71945059e-01
25,0,1.30608176,-8.009363,1.58796290e-01
26,0,1.33645576,-7.999066,1.43348778e-01
27,0,1.36682976,-7.987477,1.26530095e-01
28,0,1.39720381,-7.974810,1.08753758e-01
29,0,1.42757781,-7.961386,8.92795535e-02
30,0,1.45795159,-7.947528,7.40490375e-02
31,0,1.48832560,-7.933662,5.46374497e-02
32,0,1.51869960,-7.920150,3.61197381e-02
33,0,1.54907361,-7.907380,1.81160418e-02
34,0,1.57944761,-7.895736,3.13971133e-03
35,0,1.60982162,-7.885624,5.41051171e-03
36,0,1.64019563,-7.877365,5.68542872e-02
37,0,1.67056963,-7.871244,9.96735583e-02
38,0,1.70094364,-7.867476,1.16066077e-01
39,0,1.73131764,-7.866182,1.18665260e-01
40,0,1.73131764,-7.866182,1.18665308e-01
41,0,1.75279515,-7.924879,1.88787435e-02
42,0,1.77427297,-7.980461,2.02646361e-02
43,0,1.79575048,-8.032927,2.16729035e-02
44,0,1.81722830,-8.082250,2.31022255e-02
45,0,1.83870581,-8.128431,2.45491965e-02
46,0,1.86018364,-8.171462,2.60111084e-02
47,0,1.88166114,-8.211334,2.74851572e-02
48,0,1.90313897,-8.248035,2.89683284e-02
49,0,1.92461647,-8.281571,3.04581644e-02
50,0,1.94609430,-8.311938,3.19526496e-02
51,0,1.96757180,-8.339113,3.34467434e-02
52,0,1.98904963,-8.363101,3.49385784e-02
53,0,2.01052713,-8.383910,3.64233697e-02
54,0,2.03200496,-8.401513,3.79016165e-02
55,0,2.05348246,-8.415920,3.93685648e-02
56,0,2.07496029,-8.427121,4.08209062e-02
57,0,2.09643779,-8.435128,4.22561556e-02
58,0,2.11791562,-8.439933,4.36709415e-02
59,0,2.13939312,-8.441535,4.50623024e-02
60,0,2.13939312,-8.441535,4.50622935e-02
61,0,2.20382612,-8.639944,2.10746970e-02
62,0,2.26825912,-8.879154,6.65144642e-03
63,0,2.33269211,-9.149303,6.89995506e-04
64,0,2.39712495,-9.438544,5.45014285e-04
65,0,2.46155794,-9.736095,3.51188109e-03
66,0,2.52599094,-10.033039,7.53943144e-03
67,0,2.59042394,-10.322529,1.13239232e-02
68,0,2.65485693,-10.599298,1.41559192e-02
69,0,2.71928993,-10.859598,1.57365842e-02
70,0,2.78372276,-11.100614,1.60395488e-02
71,0,2.84815576,-11.320138,1.52045904e-02
72,0,2.91258876,-11.516590,1.34711288e-02
73,0,2.97702175,-11.688792,1.11309464e-02
74,0,3.04145475,-11.835792,8.49239621e-03
75,0,3.10588775,-11.956914,5.85658899e-03
76,0,3.17032058,-12.051610,3.49469339e-03
77,0,3.23475363,-12.119498,1.63468374e-03
78,0,3.29918661,-12.160320,4.47865584e-04
79,0,3.36361957,-12.174008,4.04246638e-05
80,0,3.36361957,-12.174008,4.04246620e-05
81,0,3.41622887,-12.164855,4.02252246e-05
82,0,3.46883817,-12.137635,3.96385066e-05
83,0,3.52144747,-12.092341,3.86707294e-05
84,0,3.57405686,-12.029118,3.73369798e-05
85,0,3.62666598,-11.948130,3.56696998e-05
86,0,3.67927530,-11.849741,3.36717937e-05
87,0,3.73188462,-11.734281,3.13854949e-05
88,0,3.78449394,-11.602234,2.88384636e-05
89,0,3.83710326,-11.454415,2.60850277e-05
90,0,3.88971258,-11.291718,2.31598043e-05
91,0,3.94232191,-11.115499,2.01076794e-05
92,0,3.99493123,-10.927719,1.69760601e-05
93,0,4.04754055,-10.731246,1.38110767e-05
94,0,4.10014987,-10.530251,1.06831968e-05
95,0,4.15275899,-10.331492,7.64992500e-06
96,0,4.20536831,-10.145155,4.82912692e-06
97,0,4.25797763,-9.986820,2.39757040e-06
98,0,4.31058696,-9.877355,6.69455256e-07
99,0,4.36319628,-9.837738,2.91332092e-08
0,1,0.00000000,-0.221237,1.42007369e-04
1,1,0.06074799,-0.304028,1.13962009e-03
2,1,0.12149598,-0.533108,3.77461529e-03
3,1,0.18224397,-0.861308,7.48889556e-03
4,1,0.24299205,-1.249585,1.19563755e-02
5,1,0.30373983,-1.673052,1.70512274e-02
6,1,0.36448784,-2.117453,2.27231393e-02
7,1,0.42523585,-2.574406,2.89335250e-02
8,1,0.48598386,-3.038851,3.56298701e-02
9,1,0.54673188,-3.507869,4.27196563e-02
10,1,0.60747989,-3.979083,5.00857417e-02
11,1,0.66822790,-4.451056,5.75889693e-02
12,1,0.72897591,-4.921378,6.50186557e-02
13,1,0.78972392,-5.388366,7.21839628e-02
14,1,0.85047193,-5.851013,7.88591054e-02
15,1,0.91121971,-6.307241,8.48414855e-02
16,1,0.97196773,-6.755448,8.99365099e-02
17,1,1.03271574,-7.193728,9.39692367e-02
18,1,1.09346375,-7.620536,9.68006808e-02
19,1,1.15421176,-8.034362,2.16463578e-05
20,1,1.15421176,-8.034362,2.15112442e-05
21,1,1.18458576,-8.033320,1.14226327e-03
22,1,1.21495976,-8.030216,4.47419613e-03
23,1,1.24533376,-8.025095,1.01529040e-02
24,1,1.27570776,-8.018102,1.76946894e-02
25,1,1.30608176,-8.009363,2.70247635e-02
26,1,1.33645576,-7.999066,3.79362821e-02
27,1,1.36682976,-7.987477,4.95836979e-02
28,1,1.39720381,-7.974810,6.16594043e-02
29,1,1.42757781,-7.961386,7.50244740e-02
30,1,1.45795159,-7.947528,8.38772795e-02
31,1,1.48832560,-7.933662,9.68144494e-02
32,1,1.51869960,-7.920150,1.08938776e-01
33,1,1.54907361,-7.907380,1.20825531e-01
34,1,1.57944761,-7.895736,1.30165974e-01
35,1,1.60982162,-7.885624,1.22941294e-01
36,1,1.64019563,-7.877365,6.74169952e-02
37,1,1.67056963,-7.871244,2.15564889e-02
38,1,1.70094364,-7.867476,3.29096142e-03
39,1,1.73131764,-7.866182,7.10149637e-05
40,1,1.73131764,-7.866182,7.09607291e-05
41,1,1.75279515,-7.808596,9.85173759e-02
42,1,1.77427297,-7.756296,9.56679447e-02
43,1,1.79575048,-7.709236,9.27160799e-02
44,1,1.81722830,-7.667276,8.97110687e-02
45,1,1.83870581,-7.630209,8.66988971e-02
46,1,1.86018364,-7.597762,8.37197291e-02
47,1,1.88166114,-7.569606,8.08060525e-02
48,1,1.90313897,-7.545351,7.79792919e-02
49,1,1.92461647,-7.524711,7.52626314e-02
50,1,1.94609430,-7.507363,7.26585738e-02
51,1,1.96757180,-7.492793,7.01750457e-02
52,1,1.98904963,-7.480754,6.78052116e-02
53,1,2.01052713,-7.470955,6.55396244e-02
54,1,2.03200496,-7.463114,6.33673841e-02
55,1,2.05348246,-7.457014,6.12725205e-02
56,1,2.07496029,-7.452412,5.92346177e-02
57,1,2.09643779,-7.449271,5.72418251e-02
58,1,2.11791562,-7.447428,5.52712057e-02
59,1,2.13939312,-7.446815,5.33037938e-02
60,1,2.13939312,-7.446815,5.33037852e-02
61,1,2.20382612,-7.247460,6.83065104e-02
62,1,2.26825912,-7.019417,8.37082091e-02
63,1,2.33269211,-6.762998,9.89157362e-02
64,1,2.39712495,-6.478367,1.13344078e-01
65,1,2.46155794,-6.166004,1.26424378e-01
66,1,2.52599094,-5.826264,1.37640113e-01
67,1,2.59042394,-5.459647,1.46530445e-01
68,1,2.65485693,-5.066690,1.52704578e-01
69,1,2.71928993,-4.648299,1.55855033e-01
70,1,2.78372276,-4.205520,1.55735625e-01
71,1,2.84815576,-3.739690,1.52194807e-01
72,1,2.91258876,-3.252868,1.45109723e-01
73,1,2.97702175,-2.748308,1.34346857e-01
74,1,3.04145475,-2.230417,1.19745793e-01
75,1,3.10588775,-1.707984,1.00909667e-01
76,1,3.17032058,-1.196202,7.71917591e-02
77,1,3.23475363,-0.726540,4.80555019e-02
78,1,3.29918661,-0.364477,1.67200658e-02
79,1,3.36361957,-0.221237,1.42009227e-04
80,1,3.36361957,-0.221237,1.42008013e-04
81,1,3.41622887,-0.329993,1.31031544e-04
82,1,3.46883817,-0.619918,1.07789957e-04
83,1,3.52144747,-1.018698,8.45485757e-05
84,1,3.57405686,-1.474774,6.52437702e-05
85,1,3.62666598,-1.958536,4.99156937e-05
86,1,3.67927530,-2.454449,3.77339496e-05
87,1,3.73188462,-2.952316,2.80433884e-05
88,1,3.78449394,-3.445848,2.03239883e-05
89,1,3.83710326,-3.930558,1.42057108e-05
90,1,3.88971258,-4.402823,9.42014537e-06
91,1,3.94232191,-4.859400,5.77163996e-06
92,1,3.99493123,-5.296989,3.11376927e-06
93,1,4.04754055,-5.711758,1.32638887e-06
94,1,4.10014987,-6.098368,3.21166805e-07
95,1,4.15275899,-6.449798,3.41783597e-09
96,1,4.20536831,-6.755259,2.47971638e-07
97,1,4.25797763,-6.998913,8.59583698e-07
98,1,4.31058696,-7.159679,1.51242022e-06
99,1,4.36319628,-7.216452,1.79873480e-06
0,2,0.00000000,-0.221237,4.17584917e-04
1,2,0.06074799,-0.273253,3.07057838e-03
2,2,0.12149598,-0.417348,9.87004792e-03
3,2,0.18224397,-0.620436,1.67784616e-02
4,2,0.24299205,-0.854281,2.19603170e-02
5,2,0.30373983,-1.099562,2.51001816e-02
6,2,0.36448784,-1.345517,2.64079432e-02
7,2,0.42523585,-1.584481,2.62518052e-02
8,2,0.48598386,-1.811733,2.49747401e-02
9,2,0.54673188,-2.024671,2.28549885e-02
10,2,0.60747989,-2.220993,2.01572137e-02
11,2,0.66822790,-2.399222,1.71083518e-02
12,2,0.72897591,-2.558338,1.39099503e-02
13,2,0.78972392,-2.697456,1.07457903e-02
14,2,0.85047193,-2.816014,7.77695521e-03
15,2,0.91121971,-2.913496,5.14608340e-03
16,2,0.97196773,-2.989660,2.97072120e-03
17,2,1.03271574,-3.044267,1.34614114e-03
18,2,1.09346375,-3.077078,3.43101403e-04
19,2,1.15421176,-3.088023,4.00761443e-06
20,2,1.15421176,-3.088023,4.00788846e-06
21,2,1.18458576,-3.097704,5.18588735e-03
22,2,1.21495976,-3.126067,2.01390909e-02
23,2,1.24533376,-3.171205,4.32963117e-02
24,2,1.27570776,-3.230427,7.25651365e-02
25,2,1.30608176,-3.300545,1.05854288e-01
26,2,1.33645576,-3.378349,1.41366705e-01
27,2,1.36682976,-3.460868,1.77767738e-01
28,2,1.39720381,-3.545310,2.13921868e-01
29,2,1.42757781,-3.629326,2.49123525e-01
30,2,1.45795159,-3.710912,2.82844814e-01
31,2,1.48832560,-3.788257,3.14571530e-01
32,2,1.51869960,-3.859926,3.43934353e-01
33,2,1.54907361,-3.924565,3.70485186e-01
34,2,1.57944761,-3.981093,3.93858369e-01
35,2,1.60982162,-4.028638,4.13648203e-01
36,2,1.64019563,-4.066409,4.29497397e-01
37,2,1.67056963,-4.093817,4.41079770e-01
38,2,1.70094364,-4.110419,4.48136932e-01
39,2,1.73131764,-4.115971,4.50522633e-01
40,2,1.73131764,-4.115971,4.50522634e-01
